doc_id,token_id,token,pos
d1,1,Daylighting,VERB
d1,2,and,CCONJ
d1,3,Occupant,ADJ
d1,4,Control,PROPN
d1,5,by,ADP
d1,6,Fixture,NOUN
d2,1,Dimming,VERB
d2,2,daylight,NOUN
d2,3,controls,NOUN
d3,1,Optimal,ADJ
d3,2,Daylighting,VERB
d3,3,Control,PROPN
d4,1,Optimal,ADJ
d4,2,Daylighting,VERB
d4,3,Sensor,NOUN
d4,4,Location,NOUN
d5,1,Outdoor,ADJ
d5,2,placement,NOUN
d5,3,of,ADP
d5,4,light,NOUN
d5,5,sensors,NOUN
d5,6,for,ADP
d5,7,electric,ADJ
d5,8,lighting,NOUN
d6,1,Sun,PROPN
d6,2,tracking,NOUN
d6,3,tubular,ADJ
d6,4,daylighting,VERB
d6,5,devices,NOUN
d7,1,Baffles,NOUN
d7,2,for,ADP
d7,3,roof,NOUN
d7,4,monitors,NOUN
d8,1,External,ADJ
d8,2,Light,PROPN
d8,3,Shelves,NOUN
d9,1,Fluorescence,NOUN
d9,2,based,VERB
d9,3,light,NOUN
d9,4,guides,NOUN
d10,1,High,ADJ
d10,2,ceilings,NOUN
d11,1,High,ADJ
d11,2,continuous,ADJ
d11,3,daylighting,VERB
d11,4,windows/clerestory,NOUN
d11,5,windows,NOUN
d12,1,Inside,ADV
d12,2,surface,NOUN
d12,3,reflectance,NOUN
d13,1,Internal,PROPN
d13,2,Light,PROPN
d13,3,Shelves,NOUN
d14,1,Light,PROPN
d14,2,Well,INTJ
d14,3,for,ADP
d14,4,daylighting,VERB
d15,1,Outside,ADV
d15,2,surface,NOUN
d15,3,reflectance,NOUN
d16,1,Overhang,NOUN
d16,2,for,ADP
d16,3,roof,NOUN
d16,4,monitors,NOUN
d17,1,Passive,ADJ
d17,2,Beam,NOUN
d17,3,Daylighting,VERB
d17,4,Arrays,NOUN
d18,1,Prismatic,ADJ
d18,2,Diffusing,VERB
d18,3,Skylights,NOUN
d19,1,Roof,NOUN
d19,2,monitors,NOUN
d20,1,Sloped,VERB
d20,2,ceilings,NOUN
d21,1,specular,ADJ
d21,2,light,NOUN
d21,3,shelves,NOUN
d22,1,Transparent,ADJ
d22,2,facade,NOUN
d22,3,display,NOUN
d22,4,cases,NOUN
d23,1,Tubular,ADJ
d23,2,daylighting,VERB
d23,3,devices,NOUN
d24,1,Use,VERB
d24,2,of,ADP
d24,3,interzone,NOUN
d24,4,luminous,ADJ
d24,5,ceilings,NOUN
d25,1,Use,VERB
d25,2,of,ADP
d25,3,interzone,NOUN
d25,4,windows,NOUN
d25,5,and,CCONJ
d25,6,glazed,VERB
d25,7,doors,NOUN
d26,1,Use,VERB
d26,2,of,ADP
d26,3,reflectors,NOUN
d26,4,underneath,ADV
d26,5,skylights,NOUN
d27,1,Airflow,NOUN
d27,2,windows,NOUN
d28,1,Automatic,ADJ
d28,2,/Dynamic,ADJ
d28,3,External,ADJ
d28,4,Window,PROPN
d28,5,shades,NOUN
d28,6,or,CCONJ
d28,7,blinds,NOUN
d29,1,Automatic,ADJ
d29,2,Internal,PROPN
d29,3,Window,PROPN
d29,4,shades,NOUN
d30,1,Double,ADJ
d30,2,skin,NOUN
d30,3,facade,NOUN
d31,1,Dynamic,NOUN
d31,2,Skylight,NOUN
d31,3,Fenestration,NOUN
d32,1,Effective,ADJ
d32,2,aperture,NOUN
d33,1,Electrochromic,ADJ
d33,2,Dynamic,NOUN
d33,3,Vertical,ADJ
d33,4,Fenestration,NOUN
d34,1,Green,PROPN
d34,2,Trellis,PROPN
d35,1,Heat,NOUN
d35,2,absorbing,VERB
d35,3,blinds,NOUN
d36,1,Manual,ADJ
d36,2,Internal,PROPN
d36,3,Window,PROPN
d36,4,shades,NOUN
d37,1,Minimize,VERB
d37,2,windows,NOUN
d37,3,east,ADJ
d37,4,and,CCONJ
d37,5,west,ADV
d37,6,and,CCONJ
d37,7,maximize,VERB
d37,8,north,NOUN
d37,9,and,CCONJ
d37,10,south,NOUN
d38,1,Movable,ADJ
d38,2,Window,PROPN
d38,3,Overhangs,NOUN
d38,4,and,CCONJ
d38,5,Fins,NOUN
d39,1,Optimal,ADJ
d39,2,Choice,NOUN
d39,3,of,ADP
d39,4,Skylight,NOUN
d39,5,Construction,PROPN
d40,1,Optimal,ADJ
d40,2,Choice,NOUN
d40,3,of,ADP
d40,4,Vertical,ADJ
d40,5,Fenestration,NOUN
d40,6,Construction,PROPN
d41,1,Optimal,ADJ
d41,2,Skylight,NOUN
d41,3,to,PART
d41,4,Roof,NOUN
d41,5,Ratio,PROPN
d42,1,Optimal,ADJ
d42,2,Window,PROPN
d42,3,Overhangs,NOUN
d42,4,and,CCONJ
